variant,seed,generation,best,avg,best_weight,best_feasible_value,diversity,infeasible_frac
"Baseline (k=3, 2pt, pm=0.02)",42,0,50912.0,-17804451.82,17634,50912,0.4963848888888887,0.54
"Baseline (k=3, 2pt, pm=0.02)",42,1,50912.0,-5177577.373333333,17634,50912,0.4900488888888887,0.24
"Baseline (k=3, 2pt, pm=0.02)",42,2,51408.0,-3286652.026666667,17526,51408,0.4788222222222223,0.19999999999999996
"Baseline (k=3, 2pt, pm=0.02)",42,3,52754.0,-4128013.2933333335,17598,52754,0.466448888888889,0.22666666666666668
"Baseline (k=3, 2pt, pm=0.02)",42,4,54661.0,-4646849.333333333,17487,54661,0.4520391111111111,0.23333333333333328
"Baseline (k=3, 2pt, pm=0.02)",42,5,54661.0,-3649877.92,17487,54661,0.4376755555555556,0.20666666666666667
"Baseline (k=3, 2pt, pm=0.02)",42,6,56445.0,-2379427.3,16125,56445,0.4284942222222224,0.18000000000000005
"Baseline (k=3, 2pt, pm=0.02)",42,7,56604.0,-3447166.7466666666,16638,56604,0.4175235555555555,0.2466666666666667
"Baseline (k=3, 2pt, pm=0.02)",42,8,58251.0,-2077259.1266666667,16827,58251,0.4124008888888888,0.18666666666666665
"Baseline (k=3, 2pt, pm=0.02)",42,9,59768.0,-3489720.3133333335,17166,59768,0.3882782222222221,0.24
"Baseline (k=3, 2pt, pm=0.02)",42,10,59951.0,-2295461.3866666667,17187,59951,0.3745519999999999,0.16666666666666663
"Baseline (k=3, 2pt, pm=0.02)",42,11,59951.0,-2395654.7866666666,17187,59951,0.35063200000000017,0.21333333333333337
"Baseline (k=3, 2pt, pm=0.02)",42,12,60606.0,-1947690.2333333334,17592,60606,0.3311635555555556,0.17333333333333334
"Baseline (k=3, 2pt, pm=0.02)",42,13,61769.0,-704524.38,17643,61769,0.3009182222222223,0.11333333333333329
"Baseline (k=3, 2pt, pm=0.02)",42,14,62383.0,-2429322.3,17631,62383,0.29539644444444446,0.22666666666666668
