variant,mean,sd,min,max,reached,median_gen,reached_99,median_gen_99,final_diversity,final_infeasible,mean_avg_final
"Baseline (k=3, 2pt, pm=0.02)",67165,0.0,67165,67165,5/5,75,5/5,35,0.1935530666666667,0.21866666666666665,-2532162.4573333333
Tournament k=2,66885.2,311.58417803219726,66498,67165,2/5,Not reached,5/5,98,0.2596526222222222,0.1933333333333333,-2330514.750666667
Tournament k=4,67165,0.0,67165,67165,5/5,58,5/5,29,0.16543182222222225,0.23600000000000002,-2782172.588
Roulette,62546.2,1304.3617979686464,60919,63765,0/5,Not reached,0/5,Not reached,0.4393799111111111,0.07466666666666669,-1222570.32
Rank,67055.2,100.23322802344539,66982,67165,2/5,Not reached,5/5,80,0.26016302222222226,0.17600000000000002,-2533718.1106666666
1-point crossover,67128.4,81.8400879764923,66982,67165,4/5,99,5/5,40,0.18243431111111114,0.26,-3523332.9653333332
Uniform crossover,67128.4,81.8400879764923,66982,67165,4/5,132,5/5,35,0.22083040000000007,0.21333333333333332,-2936755.857333333
pm = 0.01,67165,0.0,67165,67165,5/5,43,5/5,23,0.07813653333333334,0.23466666666666666,-2225154.6053333334
pm = 0.05,65808.4,368.2605056206815,65335,66250,0/5,Not reached,0/5,Not reached,0.3519825777777778,0.22533333333333333,-3535016.189333333
pm = 0.10,63181.4,1113.6504388720905,62029,64591,0/5,Not reached,0/5,Not reached,0.4447345777777778,0.2693333333333333,-6470179.507999999
